#          k1           k2           k3            1           b1           b2           b4          b11        b8*b8
         0.01        0.005        0.005  2.70217e+09  6.63679e+09  1.11437e+10  1.23809e+10  5.57492e+07       164971
         0.01        0.025        0.015          nan          nan          nan          nan          nan       164971
         0.01        0.045        0.035  2.62074e+09  1.11316e+10  9.12392e+09  1.01597e+10  5.10222e+07       164971
         0.01        0.065        0.055          nan          nan          nan          nan          nan       164971
         0.01        0.085        0.075          nan          nan          nan          nan          nan       164971
         0.01        0.105        0.095  1.65708e+09  8.88848e+09  2.73963e+09  3.00605e+09   3.2795e+07       164971
         0.01        0.125        0.115  1.34561e+09  8.42598e+09   2.1172e+09  2.32356e+09  3.07428e+07       164971
         0.01        0.145        0.135  1.21858e+09  7.24517e+09  1.53832e+09  1.68308e+09  2.87398e+07       164971
         0.03        0.015        0.015  2.48418e+09  9.09224e+09  1.58772e+10  1.78413e+10  6.67861e+07       164971
         0.03        0.035        0.005 -1.38984e+09   4.3363e+09  8.87382e+09  9.90296e+09   4.9548e+07       164971
         0.03        0.035        0.025  3.74426e+09  4.81241e+09   9.9436e+09  1.14706e+10  5.34362e+07       164971
         0.03        0.055        0.025  8.83683e+08  4.40049e+09  8.36124e+09  9.46335e+09   4.9132e+07       164971
         0.03        0.055        0.045   2.8199e+09  3.40713e+09   5.6857e+09  6.60303e+09  4.09126e+07       164971
         0.03        0.075        0.045  7.47169e+08  3.44754e+09  4.82856e+09  5.41752e+09  3.76745e+07       164971
         0.03        0.075        0.065  2.16703e+09   2.8507e+09  3.69274e+09  4.29809e+09  3.40322e+07       164971
         0.03        0.095        0.065  5.59117e+08  2.95999e+09  3.26833e+09  3.66202e+09  3.20917e+07       164971
         0.03        0.095        0.085  1.60156e+09  2.24996e+09  2.30073e+09  2.67617e+09  2.85562e+07       164971
         0.03        0.115        0.085  5.29006e+08  2.58499e+09  2.23126e+09  2.47325e+09  2.78419e+07       164971
         0.03        0.115        0.105  1.41262e+09  2.09356e+09  1.78216e+09    2.074e+09   2.6357e+07       164971
         0.03        0.135        0.105          nan          nan          nan          nan          nan       164971
         0.03        0.135        0.125  1.15432e+09  1.80468e+09  1.27764e+09  1.48519e+09  2.40972e+07       164971
         0.05        0.025        0.025  1.24606e+09  5.47126e+09  9.64517e+09  1.08837e+10  5.26348e+07       164971
         0.05        0.045        0.005          nan          nan          nan          nan          nan       164971
         0.05        0.045        0.025  1.56682e+09  3.04039e+09  6.73994e+09  7.72523e+09  4.45032e+07       164971
         0.05        0.065        0.015  -6.8803e+08  2.60814e+09   6.5328e+09  7.49668e+09  4.53596e+07       164971
         0.05        0.065        0.035   1.2078e+09  2.16544e+09  4.51537e+09  5.16749e+09  3.61419e+07       164971
         0.05        0.065        0.055  1.58173e+09  1.76107e+09  3.42618e+09  3.98852e+09  3.14884e+07       164971
         0.05        0.085        0.035  1.86821e+08  1.73611e+09  3.62781e+09  4.13531e+09  3.30238e+07       164971
         0.05        0.085        0.055  8.71857e+08   1.4506e+09  2.72322e+09  3.12872e+09   2.8319e+07       164971
         0.05        0.085        0.075  1.07054e+09  1.21353e+09  2.00138e+09  2.33437e+09  2.46005e+07       164971
         0.05        0.105        0.055   2.3524e+08  1.39892e+09  2.46204e+09  2.79354e+09  2.71127e+07       164971
         0.05        0.105        0.075  7.05632e+08  1.17475e+09  1.80429e+09  2.06752e+09  2.34358e+07       164971
         0.05        0.105        0.095  8.34386e+08  9.69017e+08  1.39159e+09  1.62507e+09  2.11926e+07       164971
         0.05        0.125        0.075          nan          nan          nan          nan          nan       164971
         0.05        0.125        0.095  5.52148e+08  9.43869e+08  1.24264e+09  1.42359e+09  2.01931e+07       164971
         0.05        0.125        0.115   6.9454e+08  8.48449e+08  1.04328e+09  1.21788e+09  1.90798e+07       164971
         0.05        0.145        0.095  1.68353e+08  9.36399e+08  1.12414e+09  1.26045e+09  1.93921e+07       164971
         0.05        0.145        0.115  4.47387e+08  8.17724e+08  9.29738e+08  1.06648e+09  1.82789e+07       164971
         0.05        0.145        0.135  5.43218e+08  6.92948e+08  7.40876e+08  8.64273e+08  1.71133e+07       164971
         0.07        0.035        0.035  6.35785e+08  3.07852e+09  5.32447e+09  6.00948e+09  3.91914e+07       164971
         0.07        0.055        0.015 -8.45146e+08  2.35273e+09  5.90692e+09  6.79185e+09  4.36803e+07       164971
         0.07        0.055        0.035  9.68855e+08  1.93053e+09  4.06963e+09  4.65572e+09  3.44846e+07       164971
         0.07        0.055        0.055  1.31172e+09  1.53532e+09  3.08056e+09   3.5726e+09  2.98361e+07       164971
         0.07        0.075        0.005  -3.2547e+09  1.80248e+09  3.37119e+09  3.85434e+09  3.20448e+07       164971
         0.07        0.075        0.025  2.71372e+08  1.80082e+09  4.03515e+09   4.6428e+09  3.61453e+07       164971
         0.07        0.075        0.045  7.84111e+08  1.26992e+09  2.70299e+09  3.10678e+09  2.80992e+07       164971
         0.07        0.075        0.065  9.27745e+08  1.06084e+09  2.10049e+09  2.44172e+09  2.46192e+07       164971
         0.07        0.095        0.025 -2.96285e+08  1.35541e+09  3.33945e+09   3.8531e+09  3.39152e+07       164971
         0.07        0.095        0.045  4.09074e+08  1.00422e+09  2.21328e+09  2.53957e+09  2.58562e+07       164971
         0.07        0.095        0.065  6.07674e+08  8.59322e+08  1.71267e+09  1.97765e+09  2.24091e+07       164971
         0.07        0.095        0.085  6.27214e+08  6.79567e+08  1.23467e+09  1.43991e+09  1.91069e+07       164971
         0.07        0.115        0.045  5.67763e+07  9.32713e+08  2.01482e+09   2.3049e+09  2.49413e+07       164971
         0.07        0.115        0.065  3.76939e+08  8.12221e+08  1.56251e+09   1.7889e+09  2.15296e+07       164971
         0.07        0.115        0.085  4.76234e+08  6.41038e+08  1.11426e+09  1.28491e+09  1.81988e+07       164971
