#          k           1          b1       b1*b1
  0.00766643     4596.74     14410.7    -3.30109
   0.0160832     5473.34     17159.7    -23.2349
   0.0257545     4556.27     14288.5    -33.4541
   0.0356934     3358.33     10538.3    -16.3009
    0.045512     2610.53     8198.13     2.40145
   0.0552959     2233.55     7018.54    0.859708
   0.0652349      1962.1     6169.17    -10.6016
   0.0751562     1651.81     5198.35    -4.54967
   0.0852165     1327.45     4183.27     24.1802
   0.0952608     1081.88     3413.73     49.2817
    0.105196     937.979     2961.25     48.4647
    0.115136     851.577      2688.3     26.7659
    0.125083     772.525     2438.88     8.27706
    0.135091     680.552     2149.93      11.433
    0.145084     589.369     1863.84     29.6332
    0.155103     516.597     1634.97     42.3346
    0.165131     465.523     1473.41     38.2396
    0.175113     427.435     1352.34     23.3849
    0.185114     392.388     1241.22     11.7783
    0.195094      356.93     1129.44     12.1138
    0.205064     323.474     1024.24     19.8653
    0.215101     294.588      933.23     25.6331
    0.225118      270.82     857.972     24.4292
    0.235075      250.72     794.094     18.3386
    0.245071     232.438     736.053     12.8841
    0.255076     215.411     682.209     11.5432
    0.265072     199.813     633.014     13.4486
    0.275063      185.84     588.918     15.3704
    0.285057     173.375      549.46     15.1652
    0.295074     162.082     513.628     13.2053
    0.305081     151.763      480.88     11.0842
    0.315064     142.322     450.976     10.0129
    0.325061     133.686     423.663     9.98166
    0.335065     125.796     398.716     10.1878
    0.345049     118.568     375.833     10.0043
    0.355053     111.872      354.61     9.33125
    0.365063     105.661     334.913     8.51912
    0.375053     99.9191     316.718     7.89198
    0.385034     94.6063     299.889     7.47473
    0.395032     89.6661     284.247     7.16564
     0.40504     85.0499     269.627     6.80027
    0.415047     80.7188     255.902     6.32941
    0.425058      76.642     242.986     5.82314
    0.435043      72.807     230.832     5.32589
    0.445037     69.1849     219.361     4.89314
    0.455044     65.7588     208.514     4.52767
    0.465038      62.519     198.259     4.22074
    0.475048      59.449     188.548     4.00935
    0.485041     56.5356     179.331     3.83398
    0.495024     53.7727     170.596     3.73171
