#          k           1          b1       b1*b1
  0.00766643     1609.78     7209.46     14530.5
   0.0160832      1919.3     8598.41     17343.7
   0.0257545     1601.71     7179.95     14504.4
   0.0356934     1184.51     5313.09       10750
    0.045512      923.64     4145.09     8397.97
   0.0552959      791.99     3556.72     7218.16
   0.0652349      696.79      3132.1     6370.31
   0.0751562     587.248      2641.4     5380.32
   0.0852165     472.179     2123.41     4323.44
   0.0952608     384.767     1728.97     3514.34
    0.105196     333.507     1498.43     3044.85
    0.115136     302.833     1361.96     2773.95
    0.125083     274.734     1237.05     2526.29
    0.135091     241.801     1088.83     2223.71
    0.145084         209     939.889     1913.56
    0.155103     182.878     821.202     1666.16
    0.165131     164.744     739.684     1500.41
    0.175113     151.391     680.586      1384.7
    0.185114     139.065     625.975     1277.44
    0.195094      126.41     569.012      1161.1
    0.205064      114.37     514.206      1046.2
    0.215101     104.006     467.036     947.371
    0.225118     95.5836     429.115     869.982
    0.235075     88.5428     397.809     808.072
    0.245071     82.1328     369.329      751.86
    0.255076     76.1016     342.271     697.059
    0.265072     70.5305     317.037     644.707
    0.275063     65.5422      294.41     597.603
    0.285057     61.1257     274.503     556.843
    0.295074     57.1491      256.72     521.127
    0.305081     53.5248     240.519     488.752
    0.315064     50.1942     225.583     458.587
    0.325061     47.1322     211.793     430.365
    0.335065     44.3348     199.173     404.424
    0.345049     41.7776     187.658     380.887
    0.355053     39.4166     177.059     359.417
    0.365063     37.2287     167.251     339.629
    0.375053     35.2041     158.169     321.268
    0.385034     33.3296     149.752     304.189
    0.395032     31.5864     141.919     288.262
     0.40504     29.9586     134.614      273.44
    0.415047     28.4335     127.777     259.617
    0.425058     26.9978     121.345     246.649
    0.435043     25.6476     115.299     234.469
    0.445037     24.3716     109.584     222.952
    0.455044     23.1637     104.173     212.032
    0.465038     22.0212     99.0514     201.684
    0.475048     20.9368     94.1845     191.824
    0.485041     19.8949      89.564      182.45
    0.495024     18.9304     85.1722     173.517
